,Yemen,Algeria,Chad,Mali,France,Mauritania,Niger,Egypt,Sudan,Dem. Rep. Congo,Uganda,Ethiopia,Kenya,Burundi,Tanzania,Rwanda,Thailand,Guinea,Madagascar,Djibouti,Somalia,Ghana,Comoros,Central African Rep.,Gambia,Sierra Leone,Lesotho,Liberia,Mozambique,Zambia,Nigeria,South Africa,eSwatini,Zimbabwe,Botswana,Togo,Tunisia,Angola,Cameroon,Eritrea,Morocco,Namibia,Congo,Guinea-Bissau,Iraq,S. Sudan,Papua New Guinea,Senegal,Côte d'Ivoire,Libya,Bahrain,Philippines,Syria,Turkey,Myanmar,Bangladesh,India,China,Pakistan,Afghanistan,Laos,Tajikistan,Lebanon,Uzbekistan,Kyrgyzstan,Solomon Islands,Israel,Iran,Malaysia,Russia,Spain,United Kingdom,Germany,Netherlands,Honduras,Azerbaijan,Armenia,Brazil,Indonesia,Sri Lanka,Mexico,Trinidad and Tobago,Bosnia and Herz.,Serbia,Croatia,Nepal,Colombia,Bhutan,Cambodia,Jordan,Saudi Arabia,Ecuador,Jamaica,Bolivia,Canada,Guatemala,Haiti,United States of America,Guyana,Peru,Argentina,Paraguay,Italy,Venezuela,El Salvador,Panama,Nicaragua,Kuwait,Ukraine,Malta,United Arab Emirates,Moldova,Romania,Qatar,Georgia,Albania,Macedonia,Burkina Faso,Belgium,Sweden,Australia,Benin,Austria,Poland,Dem. Rep. Congo,Dominica,S. Sudan,Myanmar,Russia
1990-09-30,0,0,0,55,0,0,0,0,409,0,93,2436,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,149,37,17,0,237,0,0,0,0,0,51,0,0,0,0,0,0,0,0,1,14,8,0,0,33,0,67,6,0,27,0,0,16,0,0,75,0,0,0,1,0,0,0,3,4,0,0,0,0,0,0,61,252,0,0,0,0,0,2,43,0,0,0,0,0,0,0,0,5,0,0,0,234,0,0,0,1,57,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-10-31,0,0,0,0,0,0,0,0,60,0,1,162,0,0,0,2320,0,0,0,0,641,0,0,0,0,0,0,6,35,0,80,27,0,0,0,0,0,128,0,0,0,0,0,0,0,0,13,8,0,0,0,152,0,28,2,3,418,0,2,631,0,0,700,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,339,0,0,0,0,0,0,23,0,100,0,0,0,0,0,0,11,0,0,0,82,0,0,0,2,22,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-11-30,0,0,400,0,0,0,0,0,102,0,0,24,0,0,0,195,0,0,0,0,154,0,0,0,0,0,0,0,31,0,0,49,0,7,0,0,0,27,0,0,0,0,0,0,0,0,0,3,0,0,0,92,0,41,1,4,258,0,0,27,0,0,12,0,0,0,3,0,0,0,2,6,0,0,0,0,0,0,9,301,3,0,0,0,0,0,53,0,50,0,0,0,0,0,0,8,0,0,0,48,0,0,0,4,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-12-31,0,1,10,0,0,0,0,0,0,6,3,2109,0,0,0,62,0,0,0,0,1414,0,0,0,0,0,0,2,44,0,0,147,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,28,0,3,281,0,1,0,0,0,18,0,0,0,12,0,0,10,7,1,0,0,0,0,0,0,0,383,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,22,0,0,0,28,0,0,0,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-01-31,0,0,0,0,0,0,0,0,189,0,0,5,0,0,0,24,0,0,0,0,3300,0,0,0,0,0,0,5,69,0,0,72,0,0,0,0,0,3,0,0,0,0,0,0,1399,0,0,4,0,0,0,38,0,6,7,2,83,0,2,3,0,0,4,0,0,0,3,0,0,31,1,1,0,0,0,0,0,0,0,137,0,0,0,0,0,0,74,0,5,0,62,0,0,0,0,8,40,0,0,44,0,0,0,7,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-02-28,0,0,0,0,0,0,0,0,82,0,32,1144,0,0,0,18,0,0,0,0,50,0,0,0,0,0,0,2,82,0,0,47,0,0,0,0,0,55,0,0,0,0,0,0,1327,0,0,3,0,0,0,77,0,15,0,5,26,0,15,5,0,0,7,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,2,282,0,0,0,0,0,0,118,0,36,0,29,0,0,0,0,16,0,0,0,58,0,0,0,1,0,0,0,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-03-31,0,0,0,0,0,0,0,0,328,0,5,5730,0,0,0,0,2,0,0,0,200,0,0,0,0,24,0,0,186,0,0,169,0,0,0,0,0,2,0,0,0,0,0,0,2673,0,11,8,0,0,0,73,0,20,81,14,61,0,4,190,0,0,2,0,0,0,8,1,0,4,1,2,0,0,0,0,0,0,63,709,0,0,0,0,0,0,56,0,10,0,0,0,0,0,0,3,0,0,0,15,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-04-30,0,0,0,0,0,0,0,0,570,11,42,139,0,0,0,0,0,0,0,0,200,0,0,0,0,144,0,0,83,0,150,53,0,0,0,32,0,82,0,0,0,0,0,0,176,0,0,1,0,0,0,65,0,38,0,0,40,0,4,310,0,0,2,0,0,0,3,0,0,38,2,4,0,0,0,0,0,0,9,808,0,0,0,0,0,0,40,0,2,0,0,0,0,0,0,10,0,0,0,62,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-05-31,0,0,0,44,0,0,0,0,60,0,215,3718,0,0,0,3,0,0,0,0,0,0,0,0,0,98,0,1,30,0,0,46,0,0,0,0,0,84,0,0,0,0,0,0,164,0,0,0,0,0,0,96,0,43,2,4,238,0,6,182,0,0,7,0,0,0,6,0,0,15,13,7,0,0,0,0,0,0,5,344,0,0,0,0,0,0,57,0,242,0,0,0,0,0,0,10,0,0,0,93,0,0,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-06-30,0,0,0,0,0,0,0,0,14,0,0,600,0,0,0,0,0,0,0,0,0,8,0,0,0,84,0,8,50,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,65,0,20,42,27,79,0,12,0,0,0,10,0,0,0,0,0,0,1,8,5,0,0,0,0,0,0,1,454,0,0,0,36,0,2,24,0,0,0,0,0,0,0,0,8,0,0,0,125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-07-31,0,0,0,0,0,0,0,0,0,0,50,8,0,0,0,0,0,0,0,15,0,0,0,0,0,87,0,7,0,0,0,31,0,0,0,0,0,0,50,0,0,0,0,0,84,0,0,0,0,0,0,54,0,95,0,8,116,0,0,282,0,0,15,0,0,0,4,0,0,18,4,0,0,0,0,0,0,0,8,2346,0,0,0,249,0,0,64,0,0,0,0,0,0,0,0,3,0,0,0,53,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-08-31,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,103,0,0,145,0,0,40,0,0,0,0,0,0,0,0,19,0,0,0,13,0,0,0,0,0,0,32,0,48,16,5,31,0,0,360,0,0,3,0,0,0,3,0,0,24,5,3,0,0,0,0,0,0,0,481,0,0,0,250,0,0,68,0,0,0,0,0,0,0,0,19,0,0,0,297,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-09-30,0,0,0,0,0,0,0,0,267,3,4,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,28,0,2,42,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,106,0,27,96,2,78,0,19,20,0,0,2,0,0,0,7,0,0,46,3,2,0,0,0,0,0,0,6,300,0,0,0,268,0,0,42,0,5,0,0,0,0,0,0,4,0,0,0,120,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-10-31,0,0,70,0,0,0,18,0,5,18,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,307,64,0,230,27,0,0,0,31,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,41,0,56,49,7,168,0,0,208,0,0,9,0,0,0,4,0,0,21,3,5,0,0,0,0,0,0,23,185,0,0,0,250,0,0,32,0,7,0,0,0,0,0,0,5,62,0,0,290,0,0,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-11-30,0,3,0,11,0,0,0,0,1998,0,0,25,0,208,0,66,0,0,0,44,1030,0,0,0,0,16,0,0,60,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,18,0,0,0,0,22,0,27,220,20,81,0,0,290,0,0,5,0,0,0,7,0,0,6,3,7,0,0,0,0,0,0,298,85,0,0,0,292,0,0,74,0,2,0,0,0,0,0,0,2,0,0,0,115,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-12-31,0,31,25,12,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,75,1000,0,0,0,0,178,0,0,122,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,53,534,10,91,0,0,23,0,0,2,0,0,0,2,0,0,2,2,2,0,0,0,35,0,0,8,83,0,0,0,158,0,0,56,0,13,0,0,0,0,0,0,11,0,0,0,29,0,0,0,3,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
